"日期","确诊","疑似","治愈","死亡","重症","新增疑似","新增确诊","新增治愈","新增死亡","新增重症"
"01-20","291","54",,"2",,,"77",,"1",
"01-21","440","37",,"9","102","-17","149",,"7",
"01-22","571","393",,"17","95","356","131",,"8","-7"
"01-23","830","1072","35","25","177","679","259","6","8","82"
"01-24","1287","1965","38","41","237","1118","457","3","16","87"
"01-25","1975","2684","49","56","324","719","688","11","15","87"
"01-26","2744","5794","51","80","461","3110","769","2","24","137"
"01-27","4514","6975","60","106","976","1179","1770","9","26","515"
"01-28","5974","9239","103","132","1239","2266","1460","43","26","263"
"01-29","7736","12167","126","170","1370","2928","1737","13","38","131"
"01-30","9720","15238","171","213","1527","4812","1982","45","43","263"
"02-00","11821","17988","243","259","1795","5019","2102","72","46","268"
"02-01","14411","19544","328","304","2110","4562","2590","85","45","315"
"02-02","17238","21558","475","361","2296","5173","2829","147","57","186"
"02-03","20471","23204","632","425","2788","5072","3235","157","64","492"
"02-04","24363","23260","892","491","3219","3971","3887","260","66","431"
"02-05","28138","24702","1153","564","3859","5328","3775","481","73","640"
"02-06","31212","26359","1542","637","4821","4833","3152","389","73","962"
"02-07","34664","27657","2372","724","6101","4214","3401","830","87","1280"
"02-08","37251","28942","2662","812","6188","3916","2657","611","89","87"
"02-09","40235","23589","3283","909","6484","4008","3073","632","97","296"
"02-10","42718","21675","4060","1017","7333","3536","2494","778","108","849"
"02-11","44742","16067","4797","1114","8204","3342","2034","799","97","871"
"02-12","59885","16067","5993","1368","8204",,"15143","196","254",
